Tail Turning on X_axis,Tail twisting on Y-axis,Tail-Main Distance,AOA of Main Wing,C_Fx,C_Fy,C_Fz,C_Tx,C_Ty,C_Tz,,,,,,,,,,,,
10,0,20,10,0.023191519,-0.226358138,0.435541857,-0.332792844,-0.007292454,0.002191367,,,10,0,20,10,0.023191519,-0.226358138,0.435541857,-0.332792844,-0.007292454,0.002191367
20,0,0,0,0.000272904,-0.142881403,0.232430178,-0.127450718,0.007073678,-0.000369238,,,20,0,0,-10,0.005771071,-0.172591739,-0.074920211,-0.06525847,0.001024648,-0.001354917
20,0,0,0,0.000954731,-0.142758726,0.233450739,-0.128173863,0.00756987,-0.000358948,,,20,0,0,-10,0.006125639,-0.17316748,-0.072037498,-0.066077422,0.000989759,-0.00138101
20,0,0,0,0.00086158,-0.142602087,0.235930933,-0.127514011,0.00707533,-0.00033585,,,20,0,0,-10,0.005889921,-0.17125933,-0.071975063,-0.064818018,0.000723018,-0.001315266
20,0,0,-10,0.005771071,-0.172591739,-0.074920211,-0.06525847,0.001024648,-0.001354917,,,20,0,0,0,0.000272904,-0.142881403,0.232430178,-0.127450718,0.007073678,-0.000369238
20,0,0,-10,0.006125639,-0.17316748,-0.072037498,-0.066077422,0.000989759,-0.00138101,,,20,0,0,0,0.000954731,-0.142758726,0.233450739,-0.128173863,0.00756987,-0.000358948
20,0,0,-10,0.005889921,-0.17125933,-0.071975063,-0.064818018,0.000723018,-0.001315266,,,20,0,0,0,0.00086158,-0.142602087,0.235930933,-0.127514011,0.00707533,-0.00033585
20,0,0,10,0.022497795,-0.233096548,0.453972667,-0.269980378,-0.005428394,0.001651414,,,20,0,0,10,0.022497795,-0.233096548,0.453972667,-0.269980378,-0.005428394,0.001651414
20,0,0,10,0.02292029,-0.233529724,0.45352477,-0.270239017,-0.00521506,0.00171968,,,20,0,0,10,0.02292029,-0.233529724,0.45352477,-0.270239017,-0.00521506,0.00171968
20,0,0,10,0.022973705,-0.234295197,0.45290408,-0.26999609,-0.005491252,0.001670075,,,20,0,0,10,0.022973705,-0.234295197,0.45290408,-0.26999609,-0.005491252,0.001670075
20,0,5,0,0.003932479,-0.146280003,0.243978522,-0.149646119,0.006155017,5.0316E-05,,,20,0,5,-10,0.008352716,-0.185976077,-0.079369998,-0.095197319,0.000265433,-0.001015631
20,0,5,0,0.002458045,-0.145476737,0.242397616,-0.148991912,0.006009745,5.51192E-05,,,20,0,5,-10,0.00815314,-0.185192263,-0.079109348,-0.094402463,2.40581E-05,-0.000958849
20,0,5,0,0.003408181,-0.14495241,0.242044101,-0.148504238,0.005677603,6.04959E-05,,,20,0,5,-10,0.008707203,-0.184442848,-0.077515299,-0.094178197,-0.000128205,-0.000920999
